City,NumBrew,Population2017
Albuquerque,32,558545
Asheville,27,91902
Atlanta,22,486290
Austin,54,898796
Baltimore,20,611648
Bend,25,94520
Boulder,27,107125
Charlotte,32,859035
Chicago,65,2716450
Cincinnati,35,301301
Cleveland,30,385525
Colorado Springs,28,464474
Columbus,36,879170
Dallas,24,1341075
Denver,93,704621
Fort Collins,24,165080
Grand Rapids,28,198829
Houston,33,2312717
Indianapolis,34,872680
Kansas City,21,488943
Knoxville,22,187347
Los Angeles,24,3999759
Louisville,25,771158
Milwaukee,30,595351
Minneapolis,38,422331
Nashville,24,691243
Philadelphia,25,1580863
Pittsburgh,26,302407
Portland,86,645219
Raleigh,23,463492
Richmond,23,227032
Sacramento,20,501901
Saint Louis,24,308626
Saint Paul,24,306621
San Diego,91,1419516
San Francisco,39,884363
Seattle,73,724745
Spokane,23,217108
Tampa,20,385430
